,2),Bearman and Hajjar will have an on-track battle and Bearman will win,,,,,,FALSE,,,,,,,,,,,,,,,,9,Bortoleto,Lawson,Sainz,Hadjar,Hadjar,Hadjar,Lindblad,9,Lawson,Sainz,Sainz,Verstappen,Piastri,Lawson,Verstappen
,,Someone will overtake another car flat-out through 130R,,,,,,FALSE,,,,,,,,,,,,,,,,10,Lindblad,Ocon,Albon,Gasly,Piastri,Gasly,Bearman,10,Ocon,Lindblad,Bortoleto,Hadjar,Hadjar,Hadjar,Bearman
Mom,1),,,,,,,,,,,,,,,,,,,,,,,,SCORE,22,14,15,10,15,10,11,Hulkenburg,Hulkenburg,Bearman,Lindblad,Gasly,Lindblad,Lawson
,2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Hadjar,Colapinto,Hulkenburg,Bortoleto,Sainz,Gasly,Gasly
,3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Bortoleto,Bortoleto,Bottas,Gasly,Colapinto,Ocon,Ocon
Quincey,1),Racing bulls are ahead of red bull in the constructors by the end of the week,,,,,,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,14,Lindblad,Gasly,Lindblad,Hulkenburg,Bortoleto,Hulkenburg,Colapinto
,2),Both Audis finish in the points (I'm delusional),,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,15,Sainz,Piastri,Albon,Albon,Hulkenburg,Colapinto,Sainz
,3),Bearman gets his first podium,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,16,Colapinto,Norris,Alonso,Colapinto,Lindblad,Bortoleto,Albon
Wynn,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Perez,Lawson,Gasly,Sainz,Albon,Sainz,Hulkenburg
,2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Alonso,Perez,Perez,Ocon,Ocon,Perez,Bortoleto
,3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Bottas,Bottas,Colapinto,Perez,Perez,Albon,Perez
Paige,1),4 or more teams qualify with their drivers next to each other in the lineup (1-2 or 2-3 or 3-4 etc.),,,,,,TRUE,9,,,,,,,,,,,,,,,,,,,,,,,20,Albon,Albon,Ocon,Stroll,Bottas,Bottas,Bottas
,2),Most positions gained/lost by a driver over the race is under 6 positions (not counting DNFs),,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,21,Stroll,Alonso,Stroll,Bottas,Stroll,Stroll,Alonso
,3),Antonelli ahead of Russel in points by end of week,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,22,Bearman,Stroll,Lawson,Alonso,Alonso,Alonso,Stroll
Rees,1),Alpine double points,,,,,,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,SCORE,190,170,170,155,200,145
,2),4+ dnf in sprint,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3),Someone swears during an interview,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
